HID	Gene.Symbol	Taxonomy	Gene.ID
74	NA	10090	12845
74	NA	10116	25304
75	NA	7955	84702
75	NA	9544	712210
75	NA	9606	1356
75	NA	10090	12870
75	NA	10116	24268
76	NA	7227	44701
76	NA	7955	321294
76	NA	9544	698849
76	NA	9606	1371
76	NA	10090	12892
76	NA	10116	304024
77	NA	6239	178025
77	NA	7227	38355
77	NA	7955	100005717
77	NA	9544	714150
77	NA	9606	1376
77	NA	10090	12896
77	NA	10116	25413
78	NA	9544	574313
78	NA	9606	1471
78	NA	10090	13010
78	NA	10116	25307
79	NA	7955	792225
79	NA	7955	768128
79	NA	7955	573769
79	NA	9544	713504
79	NA	9606	1476
79	NA	10090	13014
79	NA	10116	25308
80	NA	7955	393551
80	NA	9544	696748
80	NA	9606	1535
80	NA	10090	13057
80	NA	10116	79129
83	NA	7955	100004133
83	NA	9544	713813
83	NA	9606	1643
83	NA	10090	107986
83	NA	10116	100362121
84	NA	6239	178387
84	NA	7227	39988
84	NA	7955	399479
84	NA	9544	700494
84	NA	9606	1738
84	NA	10090	13382
84	NA	10116	298942
85	NA	6239	180818
85	NA	7227	31858
85	NA	7955	405829
85	NA	9544	715672
85	NA	9606	1806
85	NA	10090	99586
85	NA	10116	81656
88	NA	9606	1908
88	NA	10090	13616
88	NA	10116	366270
89	NA	7955	30442
89	NA	9544	697329
89	NA	9606	1910
89	NA	10090	13618
89	NA	10116	50672
91	NA	9544	699400
91	NA	9606	2010
91	NA	10090	13726
91	NA	10116	25437
92	NA	9606	2022
92	NA	10090	13805
92	NA	10116	497010
93	NA	9544	709427
93	NA	9606	2038
93	NA	10090	13828
93	NA	10116	362202
94	NA	6239	179036
94	NA	7227	37181
94	NA	7955	394043
94	NA	9544	700180
94	NA	9606	2052
94	NA	10090	13849
94	NA	10116	25315
95	NA	7955	751109
95	NA	9544	714546
95	NA	9606	2057
95	NA	10090	13857
95	NA	10116	24336
96	NA	6239	176584
96	NA	7227	39202
96	NA	7955	324323
96	NA	9544	698829
96	NA	9606	2071
96	NA	10090	13872
96	NA	10116	291703
100	NA	6239	172535
100	NA	7227	36252
100	NA	7955	325724
100	NA	9544	707693
100	NA	9606	2108
100	NA	10090	110842
100	NA	10116	300726
104	NA	7955	327320
104	NA	9544	704695
104	NA	9606	2153
104	NA	10090	14067
104	NA	10116	304929
106	NA	7955	678552
106	NA	7955	359826
106	NA	9544	695578
106	NA	9606	2158
106	NA	10090	14071
106	NA	10116	24946
107	NA	7955	30708
107	NA	9544	705475
107	NA	9606	2169
107	NA	10090	14079
107	NA	10116	25598
108	NA	7955	692125
108	NA	9606	2175
108	NA	10090	14087
108	NA	10116	361435
109	NA	7955	692127
109	NA	9544	709398
109	NA	9606	2176
109	NA	10090	14088
109	NA	10116	24361
110	NA	6239	180918
110	NA	7227	45577
110	NA	7955	322372
110	NA	9544	712716
110	NA	9606	2184
110	NA	10090	14085
110	NA	10116	29383
112	NA	9544	697830
112	NA	9606	2206
112	NA	10090	14126
112	NA	10116	25316
113	NA	7227	43757
113	NA	7955	58215
113	NA	9544	695759
113	NA	9606	2235
113	NA	10090	14151
113	NA	10116	361338
115	NA	6239	176059
115	NA	7227	31605
115	NA	7955	393938
115	NA	9544	707542
115	NA	9606	2271
115	NA	10090	14194
115	NA	10116	24368
117	NA	7955	195820
117	NA	9544	716123
117	NA	9606	2492
117	NA	10090	14309
117	NA	10116	25449
119	NA	6239	189173
119	NA	7227	3772574
119	NA	7955	445487
119	NA	9544	700611
119	NA	9606	2519
119	NA	10090	66848
119	NA	10116	292485
120	NA	9544	718252
120	NA	9606	2523
120	NA	10090	14343
120	NA	10116	81919
124	NA	6239	183002
124	NA	7955	406385
124	NA	9544	693322
124	NA	9606	2581
124	NA	10090	14420
124	NA	10116	314360
125	NA	7955	449829
125	NA	9544	703873
125	NA	9606	2584
125	NA	10090	14635
125	NA	10116	287835
126	NA	6239	175506
126	NA	7227	33935
126	NA	7955	791130
126	NA	9606	2592
126	NA	10090	14430
126	NA	10116	298003
129	NA	6239	3565201
129	NA	7227	326264
129	NA	7955	100333665
129	NA	7955	559212
129	NA	9544	722884
129	NA	9606	2632
129	NA	10090	74185
129	NA	10116	288333
130	NA	6239	174768
130	NA	7227	33911
130	NA	7955	393860
130	NA	7955	450003
130	NA	9544	716935
130	NA	9606	2639
130	NA	10090	270076
130	NA	10116	364975
131	NA	7955	565237
131	NA	7955	562973
131	NA	9544	714542
131	NA	9606	2642
131	NA	10090	14527
131	NA	10116	24953
132	NA	6239	179472
132	NA	7227	37415
132	NA	7955	100192219
132	NA	9544	695675
132	NA	9606	2643
132	NA	10090	14528
132	NA	10116	29244
134	NA	7955	100001424
134	NA	9544	697986
134	NA	9606	2690
134	NA	10090	14600
134	NA	10116	25235
136	NA	7955	30236
136	NA	9544	714344
136	NA	9606	2697
136	NA	10090	14609
136	NA	10116	24392
137	NA	7955	100150195
137	NA	9544	706327
137	NA	9606	2705
137	NA	10090	14618
137	NA	10116	29584
139	NA	7955	403042
139	NA	9544	702494
139	NA	9606	2737
139	NA	10090	14634
139	NA	10116	140588
141	NA	6239	174012
141	NA	7227	41253
141	NA	7955	321621
141	NA	9544	715563
141	NA	9606	2731
141	NA	10090	104174
141	NA	10116	309312
142	NA	6239	172103
142	NA	7955	192124
142	NA	9544	697984
142	NA	9606	8001
142	NA	10090	110304
142	NA	10116	114516
143	NA	9544	721584
143	NA	9606	2811
143	NA	10090	14723
143	NA	10116	691992
144	NA	9544	704202
144	NA	9606	2815
144	NA	10090	54368
144	NA	10116	502858
145	NA	6239	173227
145	NA	7227	35886
145	NA	7955	246094
145	NA	7955	246095
145	NA	9606	2821
145	NA	10090	14751
145	NA	10116	292804
147	NA	7955	321099
147	NA	9544	699705
147	NA	9606	2934
147	NA	10090	227753
147	NA	10116	296654
148	NA	6239	174493
148	NA	7227	318053
148	NA	7227	32775
148	NA	7955	450084
148	NA	9606	2937
148	NA	10090	14854
148	NA	10116	25458
149	NA	6239	171914
149	NA	7227	39654
149	NA	7955	260437
149	NA	9544	715701
149	NA	9606	2956
149	NA	10090	17688
149	NA	10116	100360342
152	NA	6239	180037
152	NA	6239	172310
152	NA	7227	34276
152	NA	7955	793834
152	NA	7955	553401
152	NA	9544	695975
152	NA	9606	3030
152	NA	10090	97212
152	NA	10116	170670
153	NA	6239	176216
153	NA	7227	37784
153	NA	7955	336606
153	NA	9544	698025
153	NA	9606	3032
153	NA	10090	231086
153	NA	10116	171155
156	NA	6239	172726
156	NA	7227	34552
156	NA	7955	259189
156	NA	9544	713499
156	NA	9606	3081
156	NA	10090	15233
156	NA	10116	360719
158	NA	7227	46140
158	NA	7955	394129
158	NA	7955	338290
158	NA	9544	702943
158	NA	9606	3145
158	NA	10090	15288
158	NA	10116	25709
159	NA	6239	171738
159	NA	7227	33978
159	NA	7955	394190
159	NA	9544	710833
159	NA	9606	3155
159	NA	10090	15356
159	NA	10116	79238
160	NA	7955	30071
160	NA	9544	713550
160	NA	9606	6910
160	NA	10090	21388
160	NA	10116	304514
163	NA	7955	563067
163	NA	9544	100425623
163	NA	9606	3257
163	NA	10090	192236
163	NA	10116	114638
167	NA	7227	42266
167	NA	7955	563849
167	NA	9544	717977
167	NA	9606	6448
167	NA	10090	27029
168	NA	9544	712280
168	NA	9606	3383
168	NA	10090	15894
168	NA	10116	25464
169	NA	7227	38423
169	NA	7955	559959
169	NA	9544	700892
169	NA	9606	3423
169	NA	10090	15931
169	NA	10116	363513
170	NA	7227	34544
170	NA	7955	567720
170	NA	9606	3425
170	NA	10090	15932
170	NA	10116	360904
171	NA	7955	557557
171	NA	9606	3426
171	NA	10090	12630
171	NA	10116	79126
172	NA	7955	796604
172	NA	7955	100144554
172	NA	9544	641338
172	NA	9606	3561
172	NA	10090	16186
172	NA	10116	140924
173	NA	7955	30262
173	NA	9606	3630
173	NA	10090	16334
173	NA	10116	24506
175	NA	7955	30721
175	NA	9544	710936
175	NA	9606	3651
175	NA	10090	18609
175	NA	10116	29535
179	NA	7955	335269
179	NA	9544	703770
179	NA	9606	3691
179	NA	10090	192897
179	NA	10116	25724
180	NA	7227	43275
180	NA	7955	140423
180	NA	9544	718580
180	NA	9606	182
180	NA	10090	16449
180	NA	10116	29146
181	NA	7955	561370
181	NA	9544	720040
181	NA	9606	3718
181	NA	10090	16453
181	NA	10116	25326
183	NA	9544	711718
183	NA	7955	795942
183	NA	9606	3736
183	NA	10090	16485
183	NA	10116	24520
185	NA	9544	697229
185	NA	9606	102723475
185	NA	10090	16509
185	NA	10116	25471
187	NA	7955	30256
187	NA	7955	497629
187	NA	9544	696759
187	NA	9606	3815
187	NA	10090	16590
187	NA	10116	64030
188	NA	9544	702476
188	NA	9606	3859
188	NA	10090	268482
188	NA	10116	360625
191	NA	9544	720945
191	NA	9606	3914
191	NA	10090	16780
191	NA	10116	305078
193	NA	9544	698728
193	NA	9606	3952
193	NA	10090	16846
193	NA	10116	25608
194	NA	7955	445292
194	NA	7955	445292
194	NA	9544	721411
194	NA	9606	6445
194	NA	10090	24053
194	NA	10116	305941
195	NA	7955	559788
195	NA	9544	702684
195	NA	9606	6443
195	NA	10090	24051
195	NA	10116	680229
197	NA	6239	179502
197	NA	7227	37791
197	NA	7955	556995
197	NA	9544	718528
197	NA	9606	3978
197	NA	10090	16881
197	NA	10116	81513
197	NA	10116	100911727
199	NA	7955	393997
199	NA	9544	701116
199	NA	9606	3990
199	NA	10090	15450
199	NA	10116	24538
200	NA	7955	30354
200	NA	7955	101884800
200	NA	9606	4023
200	NA	10090	16956
200	NA	10116	24539
201	NA	7955	563802
201	NA	9544	714174
201	NA	9606	3757
201	NA	10090	16511
201	NA	10116	117018
203	NA	9606	4128
203	NA	10090	17161
203	NA	10116	29253
206	NA	7955	100150664
206	NA	9544	704562
206	NA	9606	4233
206	NA	10090	17295
206	NA	10116	24553
207	NA	7955	100003537
207	NA	9544	710761
207	NA	9606	4261
207	NA	10090	12265
207	NA	10116	85483
208	NA	7227	35796
208	NA	7955	393632
208	NA	9606	4292
208	NA	10090	17350
208	NA	10116	81685
210	NA	7227	34842
210	NA	7955	406845
210	NA	9606	4436
210	NA	10090	17685
210	NA	10116	81709
212	NA	7227	35362
212	NA	7955	406207
212	NA	9544	708832
212	NA	9606	4547
212	NA	10090	17777
212	NA	10116	310900
215	NA	7955	556489
215	NA	9544	712093
215	NA	9606	4607
215	NA	10090	17868
215	NA	10116	295929
219	NA	7227	34882
219	NA	7955	252846
219	NA	9544	699411
219	NA	9606	4647
219	NA	10090	17921
219	NA	10116	266714
220	NA	7955	548602
220	NA	9544	704406
220	NA	9606	4653
220	NA	10090	17926
220	NA	10116	81523
221	NA	6239	179660
221	NA	7227	34355
221	NA	7955	560778
221	NA	9606	4668
221	NA	10090	17939
221	NA	10116	315165
222	NA	7227	46386
222	NA	7955	560126
222	NA	9544	707186
222	NA	9606	4669
222	NA	10090	27419
222	NA	10116	360630
223	NA	6239	174274
223	NA	6239	173631
223	NA	6239	191745
223	NA	7227	35851
223	NA	7955	30189
223	NA	9544	718751
223	NA	9606	5727
223	NA	10090	19206
223	NA	10116	89830
225	NA	7955	100003793
225	NA	9544	702203
225	NA	9606	4693
225	NA	10090	17986
226	NA	7227	43149
226	NA	7955	564518
226	NA	9544	712911
226	NA	9606	4763
226	NA	10090	18015
226	NA	10116	24592
227	NA	6239	176851
227	NA	7227	38315
227	NA	9544	710245
227	NA	9606	4860
227	NA	10090	667034
227	NA	10090	18950
227	NA	10116	290029
228	NA	7227	34358
228	NA	7955	553330
228	NA	9544	700835
228	NA	9606	4864
228	NA	10090	18145
228	NA	10116	266732
229	NA	7955	100002391
229	NA	9544	696218
229	NA	9606	4867
229	NA	10090	53885
229	NA	10116	296136
230	NA	7955	393795
230	NA	9544	709148
230	NA	9606	4935
230	NA	10090	18241
230	NA	10116	302619
231	NA	6239	175908
231	NA	7227	40145
231	NA	7955	572518
231	NA	9544	693970
231	NA	9606	4942
231	NA	10090	18242
231	NA	10116	64313
233	NA	7227	31157
233	NA	7955	777716
233	NA	9544	702345
233	NA	9606	4952
233	NA	10090	320634
233	NA	10116	317576
234	NA	6239	174401
234	NA	7227	38871
234	NA	7955	378962
234	NA	9544	698696
234	NA	9606	5053
234	NA	10090	18478
234	NA	10116	24616
236	NA	6239	181026
236	NA	7955	437019
236	NA	9544	699844
236	NA	9606	5095
236	NA	10090	110821
236	NA	10116	687008
237	NA	7955	559332
237	NA	9544	704196
237	NA	9606	5158
237	NA	10090	18587
237	NA	10116	289878
239	NA	6239	171704
239	NA	7227	47769
239	NA	7955	337498
239	NA	9544	717332
239	NA	9606	5184
239	NA	10090	18624
239	NA	10116	292808
240	NA	10116	116718
240	NA	6239	181331
240	NA	7227	33256
240	NA	7955	393174
240	NA	9606	5193
240	NA	10090	103737
240	NA	10116	116718
242	NA	7227	38994
242	NA	7955	541405
242	NA	9544	705103
242	NA	9606	5191
242	NA	10090	18634
242	NA	10116	308718
246	NA	6239	176149
246	NA	7227	31839
246	NA	7955	556199
246	NA	9544	694376
246	NA	9606	5256
246	NA	10090	110094
246	NA	10116	678739
247	NA	6239	177092
247	NA	7227	34114
247	NA	7955	569706
247	NA	9544	716390
247	NA	9606	5257
247	NA	10090	102093
247	NA	10116	361377
250	NA	7955	100149562
250	NA	9606	5310
250	NA	10090	18763
250	NA	10116	24650
253	NA	7955	797838
253	NA	9544	708177
253	NA	9606	5317
253	NA	10090	18772
253	NA	10116	304822
254	NA	9544	704520
254	NA	9606	5320
254	NA	10116	29692
256	NA	7955	777635
256	NA	9606	5351
256	NA	10090	18822
256	NA	10116	116552
257	NA	6239	178364
257	NA	7227	39436
257	NA	7955	368229
257	NA	9544	709122
257	NA	9606	5373
257	NA	10090	54128
257	NA	10116	302915
259	NA	7955	405777
259	NA	9544	719349
259	NA	9606	5449
259	NA	10090	18736
259	NA	10116	25517
260	NA	9544	710157
260	NA	9606	5456
260	NA	10090	18994
260	NA	10116	29589
262	NA	7227	42939
262	NA	7955	664750
262	NA	9544	719910
262	NA	9606	5498
262	NA	10090	19044
262	NA	10116	289219
264	NA	7955	768180
264	NA	9544	694845
264	NA	9606	5627
264	NA	10090	19128
264	NA	10116	81750
265	NA	7227	43991
265	NA	7955	368415
265	NA	9544	705121
265	NA	9606	5728
265	NA	10090	19211
265	NA	10116	50557
266	NA	9544	700195
266	NA	9606	5741
266	NA	10090	19226
266	NA	10116	24694
267	NA	7955	30629
267	NA	9544	712147
267	NA	9606	5745
267	NA	10090	19228
267	NA	10116	56813
268	NA	6239	181823
268	NA	7227	35292
268	NA	7955	100073330
268	NA	9544	711642
268	NA	9606	5805
268	NA	10090	19286
268	NA	10116	29498
269	NA	7227	38941
269	NA	7955	556228
269	NA	9544	701636
269	NA	9606	5828
269	NA	10090	19302
269	NA	10116	29534
270	NA	6239	174392
270	NA	7227	31141
270	NA	7955	394131
270	NA	9544	715173
270	NA	9606	5830
270	NA	10090	19305
270	NA	10116	312703
271	NA	6239	176762
271	NA	7227	39050
271	NA	7955	791448
271	NA	9544	714966
271	NA	9606	5860
271	NA	10090	110391
271	NA	10116	64192
272	NA	7955	777733
272	NA	9606	5925
272	NA	10090	19645
272	NA	10116	24708
273	NA	7955	58085
273	NA	7955	559209
273	NA	9544	696630
273	NA	9606	5961
273	NA	10090	19133
273	NA	10116	25534
276	NA	9544	100426294
276	NA	9606	6094
276	NA	10090	19881
276	NA	10116	309201
279	NA	7955	445044
279	NA	9544	100423325
279	NA	9606	6247
279	NA	10090	20147
279	NA	10116	100125595
281	NA	7955	557340
281	NA	9606	6310
281	NA	10090	20238
281	NA	10116	25049
283	NA	7955	572442
283	NA	9544	718194
283	NA	9606	6329
283	NA	10090	110880
283	NA	10116	25722
285	NA	6239	184162
285	NA	7227	31129
285	NA	7955	324961
285	NA	9544	715190
285	NA	9606	6444
285	NA	10090	24052
285	NA	10116	497892
286	NA	6239	3565648
286	NA	9544	714289
286	NA	9606	6557
286	NA	10090	20495
286	NA	10116	25065
287	NA	7955	565439
287	NA	9544	703090
287	NA	9606	6559
287	NA	10090	20497
287	NA	10116	54300
292	NA	7955	30432
292	NA	9544	677703
292	NA	9606	6606
292	NA	9606	6607
292	NA	10090	20595
292	NA	10116	64301
293	NA	9606	6622
293	NA	10090	20617
293	NA	10116	29219
294	NA	7955	60641
294	NA	9544	574208
294	NA	9606	6662
294	NA	10090	20682
294	NA	10116	140586
295	NA	9544	711142
295	NA	9606	6710
295	NA	10090	20741
295	NA	10116	314251
297	NA	7955	63999
297	NA	9544	699515
297	NA	9606	6770
297	NA	10090	20845
297	NA	10116	25557
298	NA	7955	555506
298	NA	9544	714054
298	NA	9606	24
298	NA	10090	11304
298	NA	10116	310836
303	NA	7955	407646
303	NA	9544	716085
303	NA	9606	6948
303	NA	10090	21452
303	NA	10116	64365
306	NA	7227	34093
306	NA	7955	100334173
306	NA	7955	555962
306	NA	7955	793448
306	NA	7955	334438
306	NA	7955	566581
306	NA	7955	100535918
306	NA	7955	793096
306	NA	9544	715854
306	NA	9606	7051
306	NA	10090	21816
306	NA	10116	60335
307	NA	6239	173411
307	NA	7227	38746
307	NA	7955	30384
307	NA	9544	721137
307	NA	9606	7054
307	NA	10090	21823
307	NA	10116	25085
308	NA	9544	702132
308	NA	9606	7056
308	NA	10090	21824
308	NA	10116	83580
309	NA	9544	698470
309	NA	9606	7137
309	NA	10090	21954
309	NA	10116	29248
313	NA	7955	573111
313	NA	7955	436842
313	NA	9544	704564
313	NA	9606	7172
313	NA	10090	22017
313	NA	10116	690050
314	NA	7955	337167
314	NA	9544	714645
314	NA	9606	7248
314	NA	10090	64930
314	NA	10116	60445
315	NA	7955	560609
315	NA	9544	574251
315	NA	9606	7253
315	NA	10090	22095
315	NA	10116	25360
317	NA	7955	449556
317	NA	9544	705943
317	NA	9606	7276
317	NA	10090	22139
317	NA	10116	24856
319	NA	7227	42493
319	NA	7955	393143
319	NA	9544	715664
319	NA	9606	7372
319	NA	10090	22247
319	NA	10116	288051
320	NA	7227	35986
320	NA	7955	30617
320	NA	9544	705166
320	NA	9606	7389
320	NA	10090	22275
320	NA	10116	29421
324	NA	6239	178381
324	NA	7227	41605
324	NA	7955	560486
324	NA	9544	708046
324	NA	9606	7498
324	NA	10090	22436
324	NA	10116	497811
327	NA	7955	100007662
327	NA	9544	712858
327	NA	9606	326
327	NA	10090	11634
327	NA	10116	294328
328	NA	7955	566465
328	NA	9544	702937
328	NA	9606	338
328	NA	10090	238055
328	NA	10116	54225
330	NA	7227	31776
330	NA	7955	336541
330	NA	9544	712275
330	NA	9606	642
330	NA	10090	104184
330	NA	10116	287552
331	NA	6239	177530
331	NA	7227	33470
331	NA	7955	393833
331	NA	9544	709029
331	NA	9606	788
331	NA	10090	57279
331	NA	10116	117035
332	NA	7955	560607
332	NA	9544	714441
332	NA	9606	846
332	NA	10090	12374
332	NA	10116	24247
333	NA	9544	719199
333	NA	9606	1026
333	NA	10090	12575
333	NA	10116	114851
334	NA	7227	37246
334	NA	9544	694499
334	NA	9606	1121
334	NA	10090	12662
334	NA	10116	24942
335	NA	7955	798347
335	NA	9544	709838
335	NA	9606	1200
335	NA	10090	12751
335	NA	10116	83534
339	NA	9544	697508
339	NA	9606	1439
339	NA	10090	12983
339	NA	10090	12984
339	NA	10116	171081
344	NA	6239	175190
344	NA	7227	37414
344	NA	7955	393900
344	NA	9544	715485
344	NA	9606	2068
344	NA	10090	13871
344	NA	10116	308415
345	NA	7227	3772101
345	NA	7955	493780
345	NA	9544	715975
345	NA	9606	2132
345	NA	10090	14043
345	NA	10116	311215
347	NA	6239	173171
347	NA	7227	38076
347	NA	7955	678540
347	NA	9544	710553
347	NA	9606	2582
347	NA	10090	74246
347	NA	10116	114860
349	NA	7955	550529
349	NA	9544	713375
349	NA	9606	2760
349	NA	10090	14667
349	NA	10116	282838
350	NA	9544	711577
350	NA	9606	2798
350	NA	10090	14715
350	NA	10116	81668
352	NA	6239	172509
352	NA	7227	47611
352	NA	7955	751628
352	NA	9544	697192
352	NA	9606	2820
352	NA	10090	14571
352	NA	10116	25062
353	NA	7955	393629
353	NA	7955	100330921
353	NA	9544	695552
353	NA	9606	2978
353	NA	10090	14913
353	NA	10116	301233
358	NA	6239	180950
358	NA	7227	32582
358	NA	7955	393105
358	NA	9544	698369
358	NA	9606	3295
358	NA	10090	15488
358	NA	10116	79244
359	NA	9544	100423877
359	NA	9606	3459
359	NA	10090	15979
359	NA	10116	116465
360	NA	9544	574300
360	NA	9606	3559
360	NA	10090	16184
360	NA	10116	25704
362	NA	9544	703492
362	NA	9606	3792
362	NA	10090	23925
362	NA	10116	297025
363	NA	7955	436656
363	NA	7955	321502
363	NA	7955	792062
363	NA	7955	406844
363	NA	7955	550522
363	NA	7955	553371
363	NA	7955	30327
363	NA	7955	664718
363	NA	7955	100034647
363	NA	7955	445051
363	NA	9544	100426330
363	NA	9606	3872
363	NA	10090	16667
363	NA	10116	287702
369	NA	9544	699435
369	NA	9606	4053
369	NA	10090	16997
369	NA	10116	59106
371	NA	6239	176758
371	NA	7955	394246
371	NA	9544	574255
371	NA	9606	5048
371	NA	10090	18472
371	NA	10116	83572
372	NA	6239	175863
372	NA	7955	492477
372	NA	9544	707645
372	NA	9606	4598
372	NA	10090	17855
372	NA	10116	81727
374	NA	7955	562473
374	NA	9606	4688
374	NA	10090	17970
374	NA	10116	364018
375	NA	7955	559850
375	NA	9544	716740
375	NA	9606	4758
375	NA	10090	18010
375	NA	10116	24591
376	NA	9544	719119
376	NA	9606	4854
376	NA	10090	18131
376	NA	10116	56761
377	NA	6239	174548
377	NA	7227	38261
377	NA	7955	442923
377	NA	7955	560273
377	NA	9544	716730
377	NA	9606	5019
377	NA	10090	67041
377	NA	10116	690163
379	NA	6239	172333
379	NA	7955	100005716
379	NA	9544	699742
379	NA	9606	5122
379	NA	10090	18548
380	NA	7955	368410
380	NA	9544	677688
380	NA	9606	5145
380	NA	10090	225600
380	NA	10116	307401
384	NA	7955	567639
384	NA	9544	699517
384	NA	9606	5339
384	NA	10090	18810
384	NA	10116	64204
385	NA	7955	568655
385	NA	7955	447803
385	NA	7955	554122
385	NA	7955	335176
385	NA	9544	699107
385	NA	9606	5445
385	NA	10090	330260
385	NA	10116	296851
386	NA	7227	40260
386	NA	7955	58026
386	NA	9544	698770
386	NA	9606	5664
386	NA	10090	19165
386	NA	10116	81751
387	NA	7955	30663
387	NA	9544	697322
387	NA	9606	5896
387	NA	10090	19373
387	NA	10116	84600
388	NA	9544	710369
388	NA	9606	5993
388	NA	10116	310659
389	NA	9544	701538
389	NA	9606	6401
389	NA	10090	20339
389	NA	10116	25544
390	NA	7227	32621
390	NA	7955	393329
390	NA	9544	702376
390	NA	9606	6555
390	NA	10090	20494
390	NA	10116	29500
392	NA	6239	174141
392	NA	6239	173776
392	NA	7227	39251
392	NA	7955	30553
392	NA	9544	574096
392	NA	9606	6647
392	NA	10090	20655
392	NA	10116	24786
393	NA	6239	180185
393	NA	7955	550537
393	NA	9544	705686
393	NA	9606	6794
393	NA	10090	20869
393	NA	10116	314621
394	NA	6239	181638
394	NA	7227	32878
394	NA	7955	566675
394	NA	9544	711164
394	NA	9606	6821
394	NA	10090	211389
394	NA	10116	81805
395	NA	7955	322358
395	NA	9544	717972
395	NA	9606	3172
395	NA	10090	15378
395	NA	10116	25735
396	NA	7955	792391
396	NA	9544	714540
396	NA	9606	6928
396	NA	10090	21410
396	NA	10116	25640
397	NA	7955	30747
397	NA	9544	707455
397	NA	9606	7010
397	NA	10090	21687
397	NA	10116	89804
398	NA	10116	81811
398	NA	9606	7066
398	NA	10090	21832
398	NA	10116	81811
400	NA	7955	100147913
400	NA	9544	694301
